priority_rank,priority_score,province,city,school_count,current_geo_node_id,current_geo_confidence,current_urban_node_id,current_urban_confidence,review_reasons,suggested_geo_parent_id,suggested_geo_node_id,suggested_geo_name,suggested_urban_parent_id,suggested_urban_node_id,suggested_urban_name,reviewer_geo_action,reviewer_geo_parent_id,reviewer_geo_node_id,reviewer_geo_name,reviewer_urban_action,reviewer_urban_parent_id,reviewer_urban_node_id,reviewer_urban_name,reviewer_confidence,reviewer_note
46,11116,河北,廊坊市,16,geo:province:hebei,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:hebei,geo:reviewed:8d7c87b4d4,廊坊市,urban:tier:prefecture,urban:reviewed:43836e50ef,廊坊市,,,,,,,,,,
47,11114,江苏,徐州,14,geo:province:jiangsu,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:jiangsu,geo:reviewed:bdeb1113c3,徐州,urban:tier:prefecture,urban:reviewed:ee61dea5ad,徐州,,,,,,,,,,
48,11114,江苏,无锡,14,geo:province:jiangsu,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:jiangsu,geo:reviewed:51424f8054,无锡,urban:tier:prefecture,urban:reviewed:ad5d1f56be,无锡,,,,,,,,,,
49,11113,四川,绵阳市,13,geo:province:sichuan,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:sichuan,geo:reviewed:e2784f97b8,绵阳市,urban:tier:prefecture,urban:reviewed:bd4790178f,绵阳市,,,,,,,,,,
50,11113,河北,唐山市,13,geo:province:hebei,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:hebei,geo:reviewed:5f43540d47,唐山市,urban:tier:prefecture,urban:reviewed:d4b471606e,唐山市,,,,,,,,,,
51,11113,海南,海口市,13,geo:province:hainan,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:hainan,geo:reviewed:8649ef7279,海口市,urban:tier:strong_capital,urban:reviewed:052d574591,海口市,,,,,,,,,,
52,11112,安徽,芜湖市,12,geo:province:anhui,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:anhui,geo:reviewed:43aa8becd0,芜湖市,urban:tier:prefecture,urban:reviewed:a9f318aec9,芜湖市,,,,,,,,,,
53,11112,山西,晋中市,12,geo:province:shanxi,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:shanxi,geo:reviewed:addf73f1e0,晋中市,urban:tier:prefecture,urban:reviewed:76c1684c54,晋中市,,,,,,,,,,
54,11112,江西,赣州市,12,geo:province:jiangxi,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:jiangxi,geo:reviewed:59e06f5572,赣州市,urban:tier:prefecture,urban:reviewed:a5a90adbad,赣州市,,,,,,,,,,
55,11112,湖南,衡阳市,12,geo:province:hunan,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:hunan,geo:reviewed:c53d209faa,衡阳市,urban:tier:prefecture,urban:reviewed:68bb27465d,衡阳市,,,,,,,,,,
56,11111,江苏,南通,11,geo:province:jiangsu,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:jiangsu,geo:reviewed:33b4be45f5,南通,urban:tier:prefecture,urban:reviewed:3485f2fa91,南通,,,,,,,,,,
57,11111,江苏,常州,11,geo:province:jiangsu,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:jiangsu,geo:reviewed:368902b492,常州,urban:tier:prefecture,urban:reviewed:9770ccac4b,常州,,,,,,,,,,
58,11111,江苏,镇江,11,geo:province:jiangsu,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:jiangsu,geo:reviewed:74f3c816ff,镇江,urban:tier:prefecture,urban:reviewed:d3c55ad16d,镇江,,,,,,,,,,
59,11111,河北,沧州市,11,geo:province:hebei,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:hebei,geo:reviewed:94b8e73f18,沧州市,urban:tier:prefecture,urban:reviewed:c0f87d8f34,沧州市,,,,,,,,,,
60,11111,河南,新乡市,11,geo:province:henan,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:henan,geo:reviewed:2a10e37a16,新乡市,urban:tier:prefecture,urban:reviewed:aac67a1f86,新乡市,,,,,,,,,,
61,11111,河南,洛阳市,11,geo:province:henan,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:henan,geo:reviewed:9ac84e8dbd,洛阳市,urban:tier:prefecture,urban:reviewed:8bfc7e4d8a,洛阳市,,,,,,,,,,
62,11111,青海,西宁市,11,geo:province:qinghai,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:qinghai,geo:reviewed:89c90a8a0e,西宁市,urban:tier:strong_capital,urban:reviewed:a0d9ae473b,西宁市,,,,,,,,,,
63,11110,四川,德阳市,10,geo:province:sichuan,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:sichuan,geo:reviewed:c023607ac8,德阳市,urban:tier:prefecture,urban:reviewed:ca9f53b825,德阳市,,,,,,,,,,
64,11110,山东,泰安市,10,geo:province:shandong,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:shandong,geo:reviewed:c15ffb5bd1,泰安市,urban:tier:prefecture,urban:reviewed:3469d375a9,泰安市,,,,,,,,,,
65,11110,江苏,泰州,10,geo:province:jiangsu,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:jiangsu,geo:reviewed:05cdaa2f92,泰州,urban:tier:prefecture,urban:reviewed:5b4c4e3e51,泰州,,,,,,,,,,
